addedAt,addedBy,albumArtistsNames,albumName,albumPopularity,albumRecordLabel,albumReleaseDate,albumType,albumUpc,albumUrl,artistFollowers,artistGenres,artistName,artistPopularity,artistUrl,isLikedByUser,isLocal,secondaryArtistsNames,trackDuration,trackFeatureAcousticness,trackFeatureDanceability,trackFeatureEnergy,trackFeatureInstrumentalness,trackFeatureKey,trackFeatureLiveness,trackFeatureLoudness,trackFeatureMode,trackFeatureSpeechiness,trackFeatureTempo,trackFeatureTimeSignature,trackFeatureValence,trackIsrc,trackName,trackNumber,trackPopularity,trackUrl
2022-07-22T10:25:03Z,l59lqd55hcp1rmlg1xqbdxv6l,Quevedo & Ovy On The Drums,SIN SEÑAL,62,Quevedo,2022-07-22,single,190296084669,https://open.spotify.com/album/3XzR9NGfQOmwP9KQQSW3sI,3931474,"Rap Canario, Trap Latino, Urbano Latino",Quevedo,84,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,false,stream,Ovy On The Drums,03:05,0.333,0.822,0.851,0.00792,11,0.105,-3.314,0,0.0422,117.992,4,0.749,ZZOPM2235984,SIN SEÑAL,1,70,https://open.spotify.com/track/1Y62KpDaP5MEL43ZcI6IaG
2022-07-29T09:26:24Z,l59lqd55hcp1rmlg1xqbdxv6l,Feid,Normal,68,UMLE - Latino,2022-07-08,single,00602448193384,https://open.spotify.com/album/3xbevf88sEI6l01P9dApmu,9747588,"Colombian Pop, Pop Reggaeton, Reggaeton, Reggaeton Colombiano, Trap Latino, Urbano Latino",Feid,91,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,false,stream,,02:51,0.0397,0.712,0.557,0.0,4,0.27,-4.861,0,0.115,170.079,4,0.594,USUM72211935,Normal,1,75,https://open.spotify.com/track/2z9YkcLojiOE7Eu2p9lPZR
2022-07-30T11:46:57Z,l59lqd55hcp1rmlg1xqbdxv6l,Pitbull & Farruko & IAmChino,Ten Cuidado,53,Mr. 305 Records,2021-03-12,single,195497990160,https://open.spotify.com/album/23JpPGYxFaXVcuZABPm7JI,10073994,"Dance Pop, Miami Hip Hop, Pop",Pitbull,83,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg,false,stream,Farruko & IAmChino & El Alfa & Omar Courtz,03:33,0.0598,0.68,0.882,0.0,2,0.154,-3.712,1,0.242,105.071,4,0.668,USNPW2100420,Ten Cuidado,1,60,https://open.spotify.com/track/7HctR6dqgzdU9v3LYfDElj
2022-08-02T09:48:20Z,l59lqd55hcp1rmlg1xqbdxv6l,ROSALÍA,DESPECHÁ,73,Columbia,2022-07-28,single,196589348883,https://open.spotify.com/album/5omNd3Mkij9C3ZeW19rRmv,8035142,"Pop, R&b En Espanol",ROSALÍA,78,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,false,stream,,02:37,0.184,0.919,0.623,1.63E-5,7,0.0609,-6.521,1,0.0992,130.037,4,0.775,USSM12207207,DESPECHÁ,1,80,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc
2022-08-02T21:51:18Z,l59lqd55hcp1rmlg1xqbdxv6l,Natos y Waor & C.R.O & Homer El Mero Mero,Dispuestos a morir,0,Natos y Waor,2019-09-06,single,8433391777558,https://open.spotify.com/album/1eZImwU3n4ThWraWJP3jSC,786451,"Rap Underground Espanol, Spanish Hip Hop, Urbano Espanol",Natos y Waor,64,https://open.spotify.com/artist/1QJbbsxg2wqidJj51d3otw,false,stream,C.R.O & Homer El Mero Mero & Bardero$,04:19,0.718,0.707,0.53,0.0,4,0.289,-8.299,0,0.33,150.075,4,0.57,ESA011962333,Dispuestos a morir,1,0,https://open.spotify.com/track/1d1N1JZfKYI0Pj5TXzs4vy
2022-08-03T09:37:37Z,l59lqd55hcp1rmlg1xqbdxv6l,KG970 & Elpatron970,Pelé,0,Hidden Music Society,2022-06-17,single,792264664110,https://open.spotify.com/album/2tBxIsn2wqsOeQDWKa6fTk,167466,Drill Espanol,KG970,51,https://open.spotify.com/artist/6m735GSES3duQtLrgqoGUb,false,stream,Elpatron970,02:42,0.536,0.745,0.687,6.31E-5,2,0.127,-7.024,0,0.207,145.182,4,0.752,QZNJV2214620,Pelé,1,1,https://open.spotify.com/track/42GxezaZ2IsakhDi6a3rsp
2022-08-03T10:53:36Z,l59lqd55hcp1rmlg1xqbdxv6l,Bad Bunny,Un Verano Sin Ti,97,Rimas Entertainment LLC,2022-05-06,album,196626945068,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,78384047,"Reggaeton, Trap Latino, Urbano Latino",Bad Bunny,95,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,false,stream,,02:56,0.305,0.787,0.546,4.55E-5,0,0.122,-7.094,0,0.0532,93.05,4,0.222,QM6MZ2214879,Un Ratito,5,78,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
2022-08-03T10:53:46Z,l59lqd55hcp1rmlg1xqbdxv6l,Bad Bunny,Un Verano Sin Ti,97,Rimas Entertainment LLC,2022-05-06,album,196626945068,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,78384047,"Reggaeton, Trap Latino, Urbano Latino",Bad Bunny,95,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,false,stream,Bomba Estéreo,04:18,0.08,0.647,0.686,1.34E-6,3,0.528,-5.745,0,0.0413,79.928,4,0.268,QM6MZ2214888,Ojitos Lindos,14,87,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
2022-08-07T11:45:48Z,l59lqd55hcp1rmlg1xqbdxv6l,Feid,Si Te La Encuentras Por Ahí,62,UMLE - Latino,2022-08-05,single,00602448367648,https://open.spotify.com/album/29RDinslKobc2UKf1XcWn6,9747588,"Colombian Pop, Pop Reggaeton, Reggaeton, Reggaeton Colombiano, Trap Latino, Urbano Latino",Feid,91,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,false,stream,,03:11,0.151,0.743,0.576,5.87E-5,8,0.128,-3.552,0,0.076,171.945,4,0.455,USUM72214628,Si Te La Encuentras Por Ahí,1,69,https://open.spotify.com/track/02jLfqc9gMo8PkHEGHY3OT
2022-08-13T07:38:37Z,l59lqd55hcp1rmlg1xqbdxv6l,Estopa,Estopa,75,Ariola,1999-10-18,album,888880770011,https://open.spotify.com/album/5EiebUqlX025HxiCvVTsNs,1852109,"Pop Flamenco, Rumba, Spanish Pop",Estopa,70,https://open.spotify.com/artist/5ZqnEfVdEGmoPxtELhN7ai,false,stream,,02:28,0.105,0.456,0.843,0.00176,0,0.0939,-8.682,1,0.0559,79.608,4,0.842,ES5029900150,Cacho a Cacho,11,66,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l
2022-08-15T20:54:43Z,l59lqd55hcp1rmlg1xqbdxv6l,JC Reyes,Los Green Lanters,70,JC Reyes,2021-03-02,album,8445490083881,https://open.spotify.com/album/5fu0DvDw45SEtOfwDF0m69,464471,,JC Reyes,72,https://open.spotify.com/artist/0FwnPHExlRRxEZPLAi5tmG,false,stream,Camin,03:26,0.331,0.844,0.771,0.0,9,0.0893,-4.026,1,0.043,94.028,4,0.829,ESA011834118,34 Amor y Mafia,7,71,https://open.spotify.com/track/6doVTElb0aU40nVrQ8Supq
2022-08-15T20:55:17Z,l59lqd55hcp1rmlg1xqbdxv6l,Omar Montes & Khaled & Kaydy Cain,Si Tú Te Vas (feat. Yung Beef) [Remix],55,Sony Music Latin,2022-08-10,single,196589379801,https://open.spotify.com/album/06if2TD3XBlZsDAg8OS9ch,653207,"Flamenco Urbano, Pop Flamenco, Urbano Espanol",Omar Montes,69,https://open.spotify.com/artist/3lY9Fxceu60W1rbon7PkuF,false,stream,Khaled & Kaydy Cain & Yung Beef,03:35,0.0309,0.779,0.712,0.00455,5,0.0684,-3.921,0,0.0982,98.908,4,0.653,USSD12200821,Si Tú Te Vas (feat. Yung Beef) - Remix,1,62,https://open.spotify.com/track/5cp1Nx2K3FUWIH6Rzt8u33
